email,password,name,location,roles
user@test.com, pass, Anton, Osby, Admin
user1@test.com, pass, Martin, Malmö,Resident - Taxi - Admin
user2@test.com, password, Christoffer, Helsingborg, Resident
anton@test.com,pass,Anton,Osby,Resident
testing@test.com,pass,test,testCity,Resident
haj@test.com,haj,kalle,ysta,Resident
bert@bert.com,pas,bert,bstad,Resident
e@e,e,e,e,Resident - Admin
Frank@lampard.chelsea,Lampard,Lampard,London,Resident
frank@lampard.chelsea,Lampard,Frank,London,Resident
aa@aa,aa,aa,aa,Resident
bb@bb,bb,bb,bb,Resident
AntonTest@mail.com,pass,Anton,Malmö,Resident
testing@testing.testing,pass,test,testCity,Resident
a@a.com,a,a,a,Resident - Admin
b@b.com,b,b,bCity,Resident
c@c.com,c,c,city,Resident
d@d,d,d,d,Resident
f@f,f,f,f,Resident

1qwer@1qwer.com,qwer,23,3,Resident
qwer@qwer.qwer,qwer,trt,trt,Resident
4@4.com,4,4,4,Resident
q111wer@qwer.com,qwer,5,5,Resident
5@5.5,5,5,5,Resident
6@7.com,32144,5656,66,Resident
